id,movementdate,totalequids,srcid,src_longitude,src_latitude,dstid,dst_longitude,dst_latitude
24811,2022/08/28,2,6489,22.50908987,-33.9770981,7747,18.35583832,-34.10630168
24812,2022/08/28,1,6489,22.49761754,-33.97232377,7633,18.9565318,-33.6897382
24813,2022/08/28,1,6489,22.49335018,-33.96515053,133,18.98973365,-33.86752635
24824,2022/08/28,2,6489,22.50939479,-33.9746843,7633,18.96916341,-33.67710659
24825,2022/08/28,1,6489,22.50008419,-33.97889788,5312,18.35119369,-34.03030631
24826,2022/08/28,2,6489,22.49284327,-33.96907895,7785,18.43818929,-34.05091071
24827,2022/08/28,2,6489,22.50187984,-33.98082173,7638,18.37640257,-34.09866743
24830,2022/08/28,1,6489,22.50950586,-33.97630064,10582,19.02979653,-33.64486347
24835,2022/08/28,1,6489,22.50913874,-33.96504523,10210,18.37264445,-34.11838555
24838,2022/08/28,1,6489,22.49443551,-33.96924829,5942,18.81476888,-33.76543112
24840,2022/08/28,1,6489,22.50861079,-33.97892803,7644,18.37941951,-34.08955049
24841,2022/08/28,1,6489,22.50970931,-33.96404153,133,18.98698872,-33.87027128
24842,2022/08/28,1,6489,22.49466977,-33.96490705,5752,18.88370063,-34.06959937
24843,2022/08/28,1,6489,22.49435264,-33.96341492,8445,20.05329811,-34.01407189
24844,2022/08/28,2,6489,22.50816717,-33.96806179,8490,18.44287628,-34.02155372
24845,2022/08/28,1,6489,22.50695525,-33.97080923,4904,18.37789814,-34.09807186
24846,2022/08/28,2,6489,22.50466314,-33.97697519,8490,18.46099718,-34.00343282
24847,2022/08/28,3,6489,22.5055991,-33.96643812,8490,18.45492106,-34.00950894
24848,2022/08/28,1,6489,22.50074938,-33.97438133,5942,18.80969902,-33.77050098
24849,2022/08/28,2,6489,22.4935923,-33.97227781,8490,18.46124424,-34.00318576
24855,2022/08/28,2,6489,22.49137674,-33.97956065,8490,18.44522922,-34.01920078
24870,2022/08/28,1,10250,27.98400701,-26.34544545,6477,19.01177119,-33.82164881
24874,2022/08/28,2,7092,28.13990246,-26.24165294,9207,18.94416524,-33.57540476
24875,2022/08/28,5,7092,28.14215783,-26.23270175,65,18.99816373,-33.49797627
24876,2022/08/28,1,7092,28.14411791,-26.23680064,6477,19.00206996,-33.83135004
24877,2022/08/28,1,7092,28.14396278,-26.23513249,5935,18.51554076,-33.85602924
24878,2022/08/28,1,7092,28.14674539,-26.24452703,6518,19.67196124,-33.78591876
24879,2022/08/28,3,7092,28.14028196,-26.23651719,7706,18.89503868,-33.71680132
24880,2022/08/28,3,7092,28.14035952,-26.23407677,6063,18.50849602,-33.86281398
24881,2022/08/28,10,7092,28.13607877,-26.24455065,6199,18.54995235,-34.02184765
24882,2022/08/28,7,7092,28.13627773,-26.23553217,6469,18.81256106,-33.65768894
24883,2022/08/28,2,7092,28.15357118,-26.24204239,65,18.99210712,-33.50403288
24884,2022/08/28,1,7092,28.14359336,-26.22958575,64,18.81837671,-33.65292329
24885,2022/08/28,1,7092,28.14283968,-26.23379791,5336,18.51114159,-33.86206841
24886,2022/08/28,3,7092,28.15358325,-26.22876852,5504,18.50961597,-33.86168403
24887,2022/08/28,1,6489,22.49805767,-33.96926551,7065,18.43059749,-34.00795251
24799,2022/08/29,1,6489,22.49680626,-33.96935732,9616,18.3851706,-34.1078194
24800,2022/08/29,2,6489,22.49686611,-33.98061263,72,18.4701033,-33.6880567
24801,2022/08/29,2,6489,22.50201229,-33.9729073,72,18.45890048,-33.69925952
24802,2022/08/29,1,6489,22.50962938,-33.97255473,5939,18.60111362,-33.58892638
24803,2022/08/29,1,6489,22.4919339,-33.96890897,7638,18.36762419,-34.10744581
24807,2022/08/29,2,6489,22.49956159,-33.9731726,6302,18.54036642,-34.02733358
24828,2022/08/29,2,6489,22.50107223,-33.98192682,72,18.47641112,-33.68174888
24829,2022/08/29,1,6489,22.49928123,-33.9694049,4982,18.86512613,-33.98717387
24831,2022/08/29,1,6489,22.50238197,-33.97866859,7841,18.37584567,-34.01433433
24836,2022/08/29,1,6489,22.50935455,-33.96417825,9644,18.87514371,-33.97983629
24837,2022/08/29,1,7078,28.16239498,-25.94967812,149,18.79120631,-33.64024369
24856,2022/08/29,1,6489,22.50458378,-33.96272297,5718,18.86110408,-33.98909592
24869,2022/08/29,1,7300,22.38099942,-33.97878837,5760,18.42201842,-34.06348158
